QKEY,pre_accuracy,pre_percentile,pre_average_difficulty,pre_self_difficulty,Q1_W1,Q2_W1,Q3_W1,Q4_W1,Q5_W1,Q6_W1,Q7_W1,Q8_W1,Q9_W1,Q10_W1,Q11_W1,Q12_W1,Q13_W1,Q14_W1,Q15_W1,Q16_W1,Q17_W1,Q18_W1,Q19_W1,Q20_W1,post_accuracy,post_percentile,post_average_difficulty,post_self_difficulty,WEIGHT_W1
2000823,12,81,8,5,2,2,5,3,3,5,4,2,4,5,2,4,5,4,4,1,5,1,4,1,10,80,8,7,1.0
2000824,10,95,1,2,5,2,1,1,1,4,2,1,4,4,3,3,5,4,4,2,4,3,3,1,10,91,2,2,1.0
2000825,19,96,9,9,3,2,2,1,1,1,1,1,1,1,1,4,3,4,1,1,1,4,3,1,13,92,8,9,1.0
2000826,15,44,4,5,3,3,3,3,3,5,3,2,1,5,4,4,1,4,4,5,5,3,1,3,7,37,4,5,1.0
2000827,12,70,6,8,4,2,1,2,3,3,3,2,2,4,5,3,5,4,4,4,2,1,4,4,12,70,6,7,1.0
2000828,14,74,5,2,2,2,5,3,3,5,4,2,4,2,5,4,5,2,2,1,5,1,4,3,10,64,6,4,1.0
2000829,15,73,8,8,2,2,1,3,3,5,3,3,1,5,1,4,1,2,3,5,1,4,5,3,12,60,7,8,1.0
2000830,2,8,3,10,2,3,2,3,3,5,3,2,1,5,2,4,5,2,4,5,2,1,4,4,2,7,3,10,1.0
2000831,15,62,3,3,4,2,5,3,3,5,3,3,1,5,3,4,1,3,2,5,5,1,1,2,11,54,5,4,1.0
2000832,10,100,2,1,3,2,4,3,5,4,1,1,4,2,3,1,2,5,4,3,3,2,5,1,10,100,2,1,1.0
2000833,18,87,5,2,3,2,1,3,3,5,1,2,2,5,2,4,5,2,4,1,1,4,4,2,17,86,5,2,1.0
2000834,10,96,1,2,1,1,3,3,4,1,1,1,1,4,5,4,3,5,3,1,2,3,1,1,10,93,2,1,1.0
2000835,10,82,7,8,2,3,1,2,4,5,3,2,2,5,5,5,2,5,4,3,4,1,5,3,10,83,9,9,1.0
2000836,20,73,4,2,2,2,1,3,1,5,4,2,2,5,2,4,5,4,4,5,1,1,4,1,15,66,6,5,1.0
2000837,18,72,4,2,2,2,4,2,1,5,3,2,3,5,2,1,5,2,3,5,5,4,4,3,16,76,6,7,1.0
2000838,5,10,7,6,2,2,3,4,3,3,4,2,2,5,3,4,1,5,4,5,5,1,4,4,5,10,5,8,1.0
2000839,15,85,4,4,3,2,2,3,3,5,3,2,2,5,3,4,5,5,4,5,5,3,5,2,15,85,6,6,1.0
2000840,15,61,7,5,3,2,4,3,3,5,2,2,1,5,2,4,5,2,4,5,5,1,3,1,10,54,7,6,1.0
2000841,18,75,5,4,4,3,3,2,1,5,3,2,3,5,5,3,5,4,4,5,5,1,1,4,10,50,6,8,1.0
2000842,12,67,3,8,3,2,3,1,1,5,1,1,3,5,1,4,2,2,4,1,2,5,4,4,8,39,6,4,1.0
2000843,8,30,4,6,3,2,4,3,1,4,4,1,3,5,5,2,5,4,5,1,5,1,4,2,13,38,5,6,1.0
2000844,11,75,6,9,2,5,1,1,1,3,4,3,2,5,1,4,1,4,2,1,5,5,5,1,13,65,7,6,1.0
2000845,16,80,3,2,2,2,1,3,3,5,3,1,3,5,5,4,1,2,4,1,5,3,4,4,15,75,5,4,1.0
2000846,15,65,5,3,2,5,3,3,3,5,2,1,1,5,3,2,1,4,1,2,5,1,4,4,10,50,6,5,1.0
2000847,12,66,9,8,4,1,2,3,1,4,1,1,5,1,1,4,1,2,5,1,3,1,5,4,8,68,6,7,1.0
2000848,18,88,5,2,2,2,1,3,3,5,2,2,2,5,5,2,5,3,4,1,2,1,4,1,10,73,7,5,1.0
2000849,16,77,5,3,3,2,3,3,3,5,3,2,4,5,2,4,5,2,5,5,2,3,4,4,16,81,4,3,1.0
2000850,10,61,7,5,1,5,4,1,3,5,5,5,1,2,5,3,2,2,2,2,4,1,3,1,10,65,7,6,1.0
2000851,10,50,7,2,2,2,3,3,1,5,3,2,1,5,2,4,5,2,5,1,5,1,4,1,14,71,8,6,1.0
2000852,18,90,6,2,4,2,5,3,1,4,3,2,1,5,3,4,5,2,5,4,5,1,5,5,18,90,6,3,1.0
2000853,7,40,7,9,2,5,1,3,3,5,3,1,4,5,5,4,1,3,4,5,5,1,4,4,4,15,8,10,1.0
2000854,20,92,9,9,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,20,91,9,9,1.0
2000855,10,71,6,8,1,3,1,3,3,2,1,3,2,5,1,2,3,1,5,5,5,1,4,2,5,52,9,7,1.0
2000856,17,71,7,5,5,3,4,1,4,1,2,3,3,5,4,2,3,5,2,2,5,5,3,3,14,64,7,6,1.0
2000857,16,78,5,4,3,2,1,3,2,5,2,2,4,5,3,2,5,3,4,4,5,3,4,2,17,75,6,5,1.0
2000858,17,50,6,4,2,2,2,3,3,5,2,2,3,5,5,4,1,2,4,1,5,1,4,4,17,60,7,3,1.0
2000859,20,50,1,1,2,2,3,3,1,5,2,2,1,5,2,3,1,2,5,1,1,1,1,1,15,70,5,6,1.0
2000860,11,50,6,4,4,2,2,4,2,5,3,3,2,4,2,3,1,3,2,4,3,2,3,3,10,33,5,4,1.0
2000861,15,80,8,9,1,5,4,3,3,4,1,2,4,5,2,3,3,2,2,5,4,5,1,3,10,70,9,9,1.0
2000862,10,53,5,5,2,2,4,3,1,5,2,2,2,5,1,4,5,3,4,1,2,4,5,2,5,51,7,7,1.0
2000863,18,76,9,2,3,5,3,3,1,1,2,2,2,2,3,2,2,2,4,4,5,3,1,1,5,25,9,6,1.0
2000864,14,50,4,2,2,3,1,3,1,5,4,2,1,5,3,2,1,4,4,5,5,1,4,4,10,32,3,5,1.0
2000865,14,58,5,5,2,2,5,3,3,5,1,2,3,5,2,4,1,4,4,1,5,1,4,1,10,38,6,8,1.0
2000866,10,70,9,9,3,5,2,3,1,3,3,5,1,3,1,5,5,2,5,4,4,2,4,5,10,70,8,8,1.0
2000867,10,56,6,4,2,2,1,2,4,3,3,1,1,5,1,4,1,3,4,1,5,5,2,1,11,58,6,4,1.0
2000868,14,60,6,6,3,2,5,3,3,3,2,2,1,1,3,5,4,2,4,2,1,2,1,4,10,48,8,8,1.0
2000869,10,24,5,7,3,2,3,3,2,3,3,3,3,5,3,1,5,2,4,5,1,2,1,4,8,18,4,8,1.0
2000870,18,80,3,3,2,2,2,3,2,5,2,2,2,5,1,4,5,2,1,1,2,4,1,4,14,60,7,7,1.0
2000871,19,90,7,9,5,2,3,3,1,5,2,2,2,5,2,4,1,4,1,4,5,1,4,3,18,81,6,8,1.0
2000872,19,98,6,2,2,2,1,3,3,5,4,2,3,5,2,4,5,4,4,1,5,1,4,3,17,90,8,3,1.0
2000873,8,50,5,7,2,2,1,3,3,5,3,2,1,5,2,4,1,2,4,1,1,3,4,1,12,40,5,6,1.0
2000874,12,70,6,5,2,2,5,3,1,5,3,2,2,5,5,1,1,3,4,1,5,1,4,3,10,50,6,6,1.0
2000875,10,60,8,7,3,2,3,3,1,5,2,1,2,5,3,4,1,2,4,4,2,1,5,2,10,60,8,8,1.0
2000876,15,85,6,2,5,3,3,2,4,2,4,1,1,5,5,5,2,2,1,3,3,4,1,4,10,2,5,7,1.0
2000877,5,25,5,5,3,3,3,3,3,5,3,3,3,5,4,4,5,4,2,3,5,3,4,5,5,25,5,5,1.0
2000878,17,85,4,2,3,5,5,2,1,1,4,3,1,5,5,4,3,2,1,5,1,1,5,1,17,80,4,2,1.0
2000879,16,71,4,6,2,5,3,3,3,5,4,2,3,5,3,4,1,4,4,1,5,1,5,3,8,49,7,8,1.0
2000880,15,70,5,5,4,2,1,3,3,5,3,2,2,1,1,4,5,4,4,3,5,1,5,1,12,61,7,7,1.0
2000881,15,80,5,1,3,2,1,3,3,5,3,2,1,5,5,4,5,2,4,5,1,1,4,3,15,80,6,2,1.0
2000882,15,81,5,3,2,2,5,3,3,5,4,2,4,5,4,4,1,4,4,5,5,1,4,1,14,71,8,6,1.0
2000883,10,50,8,6,2,3,2,3,1,5,3,2,1,5,2,4,5,4,5,1,2,1,5,3,10,50,7,5,1.0
2000884,19,95,4,2,4,5,3,3,1,4,4,2,2,5,4,4,5,2,5,1,1,1,1,1,19,95,4,3,1.0
2000885,15,61,5,4,3,2,5,3,3,2,2,2,2,5,5,4,5,5,4,5,5,2,5,2,15,61,5,4,1.0
2000886,10,90,6,7,1,5,4,1,5,3,1,1,3,5,5,5,1,3,4,1,5,2,5,5,10,81,8,6,1.0
2000887,17,75,5,3,2,4,1,3,4,5,2,1,1,5,2,4,5,1,4,5,1,5,3,2,15,51,6,5,1.0
2000888,16,76,8,6,2,2,1,3,3,5,4,2,4,5,3,3,5,4,2,1,5,3,4,3,13,50,10,8,1.0
2000889,20,90,1,1,4,2,1,4,4,1,3,3,1,5,1,3,5,4,3,5,5,5,5,2,20,91,1,1,1.0
2000890,19,90,4,1,3,2,3,5,3,5,3,2,1,5,5,4,5,2,4,5,5,3,4,4,13,40,9,9,1.0
2000891,10,70,6,3,4,2,5,3,3,5,3,2,3,5,1,2,1,2,4,5,5,1,5,3,10,50,7,4,1.0
2000892,10,50,5,5,2,2,2,3,1,5,1,1,1,2,2,4,3,5,2,3,1,4,5,4,8,0,6,7,1.0
2000893,15,50,4,4,2,2,3,1,3,5,4,2,1,5,1,4,5,1,4,3,1,3,4,1,10,8,6,10,1.0
2000894,15,80,5,2,2,2,5,3,3,5,4,2,4,5,2,4,1,2,4,1,1,1,4,5,16,81,7,5,1.0
2000895,16,75,5,3,2,2,1,3,3,5,3,2,2,5,2,4,3,2,4,1,5,1,4,1,13,62,7,6,1.0
2000896,13,70,6,4,1,2,4,3,3,5,3,1,3,5,3,4,1,4,5,4,1,1,4,3,11,53,7,7,1.0
2000897,12,53,3,4,2,5,5,3,1,3,3,3,2,4,1,4,5,2,4,1,5,1,4,2,12,55,4,3,1.0
2000898,15,50,1,1,2,2,5,3,2,5,3,1,2,5,3,3,1,2,4,2,5,1,4,4,15,40,3,3,1.0
2000899,9,79,9,9,3,5,2,5,3,2,4,2,3,1,4,3,4,3,3,2,2,3,1,3,9,80,8,8,1.0
2000900,17,65,5,8,2,1,5,1,1,4,3,1,3,1,2,3,5,2,1,4,4,3,3,5,12,88,8,9,1.0
2000901,4,72,3,6,2,2,1,3,5,3,2,3,2,5,3,3,3,4,4,3,1,4,4,4,2,88,2,9,1.0
2000902,10,80,5,5,1,2,3,2,1,5,1,1,2,3,5,1,2,5,3,5,5,4,2,2,7,38,8,9,1.0
2000903,20,85,2,2,4,2,1,1,2,2,3,2,4,2,3,3,5,1,5,2,5,1,4,3,15,81,1,2,1.0
2000904,16,60,3,3,2,2,1,3,3,1,3,2,2,5,1,4,1,2,5,5,1,1,4,1,15,60,5,4,1.0
2000905,18,86,6,2,3,2,5,2,1,5,2,1,1,1,4,4,3,2,2,1,4,1,5,1,14,61,9,7,1.0
2000906,18,90,1,1,2,2,2,5,1,1,3,1,3,5,2,4,1,3,4,1,2,1,1,5,10,10,9,7,1.0
2000907,19,96,3,2,2,2,5,3,1,1,2,2,4,2,1,1,5,2,5,5,4,3,4,3,14,70,6,6,1.0
2000908,15,80,2,2,2,5,1,3,1,2,1,1,1,5,1,4,1,2,1,1,5,1,4,5,15,53,5,5,1.0
2000909,18,73,5,3,3,3,5,5,3,2,5,2,3,4,3,2,3,4,5,5,2,2,4,2,15,60,4,6,1.0
2000910,5,93,5,10,1,2,2,1,4,3,2,2,5,5,1,5,4,5,2,3,2,4,1,1,5,93,10,6,1.0
2000911,18,95,3,1,2,2,2,3,1,1,3,2,1,5,1,4,1,1,4,5,5,1,4,2,16,90,5,3,1.0
2000912,20,95,1,1,2,2,1,3,5,5,5,1,1,5,3,5,1,2,5,1,2,5,1,5,12,63,9,8,1.0
2000913,13,60,5,3,5,2,5,3,3,5,3,1,3,5,3,4,5,4,5,4,2,1,4,1,10,48,8,8,1.0
2000914,15,60,5,4,3,3,5,3,4,5,2,2,3,5,1,4,1,4,5,5,1,1,5,3,8,39,6,8,1.0
2000915,15,80,4,3,2,2,5,3,3,5,2,2,3,5,3,4,1,4,4,1,5,1,4,1,12,71,5,5,1.0
2000916,10,50,10,7,2,2,3,3,1,5,4,1,1,5,3,4,1,1,4,1,5,1,4,2,10,30,10,9,1.0
2000917,12,70,5,3,2,2,4,3,3,5,4,2,4,5,2,4,1,4,4,5,5,3,4,4,19,70,5,3,1.0
2000918,17,85,6,2,3,2,3,3,3,5,2,2,3,5,2,4,5,2,4,5,5,3,4,3,10,50,9,8,1.0
2000919,18,91,5,2,3,2,4,3,3,5,2,2,2,5,3,4,1,1,4,5,5,5,5,5,17,83,6,3,1.0
2000920,19,92,5,2,2,2,1,3,3,5,4,2,4,5,4,4,1,4,4,1,1,1,4,1,17,80,7,3,1.0
2000921,18,85,5,2,4,5,4,3,3,5,2,2,4,5,2,4,5,2,4,5,2,2,4,2,14,75,7,5,1.0
2000922,9,36,5,7,2,5,1,3,5,2,2,3,1,5,2,1,3,3,2,5,5,1,4,1,9,55,6,4,1.0
2000923,18,76,5,2,2,2,1,3,3,5,4,2,4,5,1,5,1,2,4,1,5,1,4,1,15,79,7,4,1.0
2000924,10,56,4,5,3,5,1,5,2,2,2,1,1,2,2,1,5,3,5,5,4,4,1,5,5,21,6,7,1.0
2000925,15,90,2,2,3,2,4,3,3,5,3,2,2,5,1,4,5,4,4,5,5,1,4,5,12,71,5,5,1.0
2000926,20,90,5,3,2,5,5,3,1,5,4,1,1,5,4,4,1,5,5,5,1,2,5,4,18,90,6,4,1.0
2000927,18,81,3,3,5,2,5,5,3,3,2,2,4,5,5,4,5,2,4,1,5,1,4,1,14,45,4,6,1.0
2000928,18,90,5,2,2,5,1,3,1,5,3,2,1,5,1,4,1,2,4,1,5,3,1,1,15,80,7,7,1.0
2000929,18,90,3,1,2,2,1,3,3,5,2,2,3,5,2,4,1,2,4,5,1,3,4,1,17,90,8,7,1.0
2000930,13,23,7,5,3,2,4,3,3,5,3,3,3,2,5,4,5,1,4,3,5,1,4,2,14,36,7,4,1.0
2000931,16,75,3,3,2,3,3,3,3,5,1,3,1,5,1,4,5,2,5,1,5,3,4,4,16,75,4,4,1.0
2000932,15,61,5,4,2,4,3,3,2,5,2,1,1,5,5,1,3,2,2,4,3,1,1,4,11,50,5,8,1.0
2000933,12,70,5,6,2,2,3,3,1,5,1,1,1,5,5,4,3,2,5,1,1,1,4,3,10,60,7,8,1.0
2000934,15,71,5,3,3,2,1,3,3,5,4,2,3,5,3,4,5,2,4,5,1,1,4,1,17,85,5,2,1.0
2000935,18,81,5,4,2,2,2,1,3,1,4,1,3,5,2,3,5,4,4,1,2,3,4,3,10,52,6,6,1.0
2000936,10,59,6,6,2,2,3,3,3,4,4,2,4,5,5,2,1,4,3,1,1,1,1,1,15,80,6,4,1.0
2000937,17,88,6,3,4,2,1,3,3,5,2,2,3,5,2,4,5,4,4,5,1,1,4,3,14,86,5,3,1.0
2000938,16,75,4,2,2,2,1,3,3,5,3,2,3,5,2,4,1,2,4,1,5,1,4,1,17,72,3,2,1.0
2000939,11,61,5,5,3,1,2,1,4,3,5,2,4,5,1,4,1,2,5,1,2,2,1,1,8,75,8,5,1.0
2000940,20,100,3,1,2,2,5,3,3,5,3,2,3,5,3,4,1,2,4,5,5,1,1,4,20,90,5,2,1.0
2000941,20,85,7,2,3,2,3,5,4,5,4,2,3,5,1,4,5,2,4,4,5,1,5,4,17,81,7,4,1.0
2000942,10,70,5,3,4,3,1,3,3,5,4,3,3,5,2,4,1,4,4,1,1,1,1,5,12,70,7,6,1.0
2000943,12,71,3,2,2,2,5,3,3,5,3,2,3,5,3,4,5,2,2,5,5,3,5,4,8,50,10,9,1.0
2000944,20,93,5,1,3,3,5,3,3,5,3,2,4,5,2,4,5,2,4,5,5,1,4,4,10,46,10,10,1.0
2000945,11,50,5,4,2,2,4,2,1,3,3,2,1,5,3,1,1,2,1,1,5,1,4,2,5,10,8,9,1.0
2000946,18,90,5,4,3,2,4,3,3,2,3,4,3,5,5,4,5,2,4,3,5,4,5,3,18,94,5,5,1.0
2000947,16,75,6,3,2,2,1,3,3,5,4,2,4,5,2,4,5,2,4,1,1,3,4,1,19,93,7,2,1.0
2000948,10,59,7,5,5,2,1,3,3,5,3,2,1,5,5,4,1,2,4,1,2,1,4,1,8,37,8,7,1.0
2000949,10,20,3,5,2,2,3,3,3,5,2,2,2,5,5,4,5,2,4,5,1,3,5,1,10,6,5,6,1.0
2000950,10,40,5,7,2,2,3,3,1,5,4,1,1,5,3,2,1,2,5,5,1,1,1,4,8,31,7,8,1.0
2000951,19,91,7,2,2,2,5,3,5,5,4,2,3,5,3,4,1,2,5,2,5,1,4,5,13,61,8,5,1.0
2000952,10,50,4,3,1,2,3,3,1,5,4,2,1,5,4,4,5,3,2,3,1,4,1,3,8,45,6,6,1.0
2000953,16,70,4,2,2,2,3,3,3,5,4,2,3,5,3,4,1,4,4,5,2,1,5,2,15,50,6,5,1.0
2000954,20,50,2,3,2,5,1,3,1,5,2,2,3,5,3,4,3,3,4,5,1,1,4,2,18,70,2,2,1.0
2000955,16,75,5,4,2,2,5,3,5,5,4,4,3,5,1,5,3,2,2,4,5,4,5,3,13,50,5,5,1.0
2000956,16,77,4,3,4,2,4,3,1,5,1,2,3,5,3,3,1,2,5,3,5,2,4,2,15,70,5,4,1.0
2000957,18,75,5,2,3,2,3,3,3,5,3,2,3,5,3,4,5,2,4,1,5,1,5,1,15,60,7,5,1.0
2000958,18,92,7,4,3,2,1,3,1,5,1,2,4,5,4,4,1,3,4,1,5,1,4,1,15,90,8,6,1.0
2000959,11,70,6,4,2,2,3,3,1,5,3,2,1,5,5,3,1,4,4,1,2,1,4,4,10,66,6,5,1.0
2000960,15,75,5,2,2,2,1,3,3,5,2,2,4,5,2,4,5,4,4,5,5,1,4,1,16,83,5,2,1.0
2000961,19,95,4,1,2,2,5,3,3,5,2,2,4,5,1,2,1,2,4,5,5,1,4,2,10,50,9,8,1.0
2000962,18,90,5,2,3,2,5,3,3,5,3,2,2,2,5,4,5,3,4,5,5,4,4,5,10,60,8,8,1.0
2000963,12,30,1,1,2,2,3,3,3,5,4,2,2,5,4,4,3,4,4,2,5,4,5,3,5,5,8,7,1.0
2000964,16,67,4,3,2,2,1,3,3,5,1,1,2,5,2,3,1,4,4,1,5,1,4,5,11,53,8,7,1.0
2000965,4,10,4,4,4,2,3,3,3,5,3,2,3,5,5,4,5,2,5,5,5,3,5,5,5,12,5,7,1.0
2000966,17,85,2,3,3,2,4,3,3,4,4,2,5,5,3,3,5,2,4,3,5,2,5,3,15,80,4,4,1.0
2000967,14,61,4,3,2,2,1,3,3,5,4,2,4,5,5,4,5,2,1,1,1,3,4,1,15,71,9,9,1.0
2000968,12,60,4,4,3,2,1,3,3,5,4,2,2,5,5,3,5,2,5,3,1,1,5,2,8,40,6,7,1.0
2000969,18,85,5,4,4,2,3,3,5,4,4,2,2,5,3,3,5,2,5,3,5,1,5,2,14,51,8,8,1.0
2000970,10,50,5,8,2,3,5,3,4,5,4,3,1,5,3,4,5,4,5,3,4,2,5,2,10,50,5,9,1.0
2000971,15,85,7,3,2,2,5,5,2,4,4,1,3,4,1,2,5,4,4,5,4,1,5,5,7,53,8,10,1.0
2000972,8,37,5,6,3,3,3,3,3,5,2,2,2,5,2,4,5,2,4,1,2,3,4,2,10,58,8,7,1.0
2000973,14,89,6,1,4,2,2,3,1,4,2,1,1,5,1,3,3,2,4,1,5,1,4,1,8,31,8,6,1.0
2000974,20,95,7,3,3,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,1,1,1,5,16,85,7,4,1.0
2000975,15,50,5,3,2,2,5,3,3,5,2,2,2,5,1,4,1,2,4,1,5,1,4,1,5,50,5,7,1.0
2000976,20,100,6,1,5,2,2,3,3,5,1,2,3,5,3,3,1,2,5,1,5,1,4,3,15,73,9,3,1.0
2000977,18,90,3,1,2,2,1,3,3,5,4,2,1,5,3,4,5,4,5,1,5,3,4,3,15,85,5,3,1.0
2000978,18,85,6,3,2,2,5,3,3,5,2,2,4,5,3,2,5,2,5,1,1,1,4,1,12,60,7,6,1.0
2000979,18,71,4,2,2,2,1,3,1,5,4,2,1,5,4,3,1,2,4,1,5,1,4,1,11,27,6,4,1.0
2000980,9,70,7,9,2,5,2,1,1,3,3,1,2,3,2,3,1,1,5,5,4,1,5,2,5,84,8,9,1.0
2000981,15,71,6,2,2,2,3,3,3,5,3,2,3,1,3,1,5,2,4,1,1,1,4,1,13,63,6,4,1.0
2000982,20,50,9,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,50,9,9,1.0
2000983,7,56,9,10,3,5,2,5,2,1,5,1,2,2,4,1,2,2,4,2,4,5,4,2,5,53,10,8,1.0
2000984,15,90,3,4,4,3,2,2,4,5,3,3,1,3,3,4,5,2,4,5,3,4,4,4,15,93,4,3,1.0
2000985,20,50,9,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,50,9,9,1.0
2000986,18,67,5,4,2,3,3,4,3,5,2,3,1,5,5,4,3,4,5,3,1,1,5,4,16,55,7,6,1.0
2000987,20,95,4,1,4,5,4,4,3,5,3,2,3,5,1,4,3,5,4,5,5,1,4,4,18,91,5,4,1.0
2000988,14,64,6,8,1,2,3,4,2,4,5,3,5,2,1,2,5,5,1,3,4,3,3,2,15,67,9,6,1.0
2000989,18,80,4,2,3,3,1,4,1,5,5,2,1,5,2,2,1,3,5,5,4,5,4,2,10,63,7,6,1.0
2000990,14,77,3,4,4,2,3,4,4,4,1,2,2,5,4,1,3,2,4,1,3,1,1,1,9,62,10,10,1.0
2000991,15,63,6,5,2,2,1,3,3,5,3,2,3,5,2,3,5,3,4,1,2,1,4,1,10,50,7,7,1.0
2000992,20,73,5,6,5,3,2,3,1,1,1,1,1,2,3,5,4,2,5,3,3,1,2,4,20,72,5,5,1.0
2000993,5,20,8,7,2,2,3,3,3,4,2,5,1,5,3,5,1,1,2,3,1,3,5,2,5,16,8,8,1.0
2000994,10,60,5,3,2,2,1,3,3,4,4,2,4,5,2,4,1,2,4,1,1,1,4,1,10,60,5,4,1.0
2000995,18,70,4,2,2,2,4,3,3,5,1,1,1,5,4,4,1,2,5,1,1,2,1,1,16,70,6,4,1.0
2000996,13,50,5,4,2,2,1,3,3,5,2,1,3,5,3,3,1,2,4,5,5,1,4,2,10,50,5,5,1.0
2000997,20,76,3,2,2,2,1,3,3,5,4,2,1,5,3,4,1,4,4,5,5,1,5,1,12,54,4,3,1.0
2000998,13,74,5,3,2,2,3,3,3,5,4,2,1,5,3,3,1,4,4,1,1,1,4,1,11,63,8,7,1.0
2000999,18,92,5,1,2,2,1,3,3,5,4,2,1,5,4,2,5,4,4,5,5,3,4,1,15,70,8,7,1.0
2001000,18,85,7,4,3,2,1,3,1,5,3,2,2,5,3,4,1,4,4,1,5,1,4,1,18,85,6,3,1.0
2001001,11,54,5,5,3,3,3,2,3,5,1,2,3,5,5,4,2,4,1,5,2,2,4,4,8,50,7,7,1.0
2001002,15,63,8,5,2,2,3,3,3,5,2,1,2,5,3,4,1,2,2,1,5,1,4,4,18,76,8,4,1.0
2001003,15,73,5,4,4,2,5,3,3,5,4,2,3,5,3,4,5,2,4,5,5,3,4,2,13,64,6,6,1.0
2001004,15,81,7,4,2,2,1,3,3,1,3,2,3,5,2,4,5,2,2,5,1,1,4,2,10,72,8,4,1.0
2001005,19,98,5,1,2,2,1,3,3,5,2,2,3,5,1,4,1,2,1,1,5,1,4,3,18,81,6,3,1.0
2001006,15,70,5,2,3,2,3,3,4,5,2,2,4,5,3,4,2,2,4,5,5,5,4,2,5,10,2,6,1.0
2001007,18,85,4,2,2,2,3,3,1,5,1,2,3,5,3,4,5,4,4,1,1,1,1,1,18,87,5,2,1.0
2001008,15,75,6,2,3,5,1,4,3,3,3,2,1,5,4,3,5,1,1,5,1,4,4,3,10,50,6,7,1.0
2001009,16,70,5,3,3,5,5,3,3,5,3,2,5,5,3,4,1,4,4,3,1,3,5,2,13,39,10,10,1.0
2001010,15,75,5,3,2,2,3,3,3,5,4,2,4,5,5,4,1,2,4,1,5,1,4,5,10,58,6,5,1.0
2001011,18,80,6,7,2,2,1,3,3,5,4,1,2,5,2,4,5,4,4,5,5,5,4,3,15,70,7,8,1.0
2001012,15,75,7,3,4,2,1,3,1,5,5,2,3,5,1,4,1,3,4,5,5,1,4,1,8,50,9,8,1.0
2001013,18,90,3,2,3,5,1,2,1,3,2,2,1,5,1,1,3,4,4,1,2,1,4,5,15,71,4,5,1.0
2001014,20,71,4,2,2,2,1,3,3,5,3,2,3,5,2,4,5,4,4,1,1,3,4,1,15,80,10,9,1.0
2001015,14,80,6,3,2,3,1,3,1,5,1,2,2,5,5,4,1,4,4,1,1,1,4,1,5,39,7,7,1.0
2001016,13,56,9,5,2,2,3,3,3,5,1,2,1,5,3,3,3,1,4,5,2,3,4,2,7,26,10,10,1.0
2001017,17,65,6,4,2,1,1,1,3,1,5,1,2,1,1,1,2,3,1,1,1,3,1,1,14,58,6,7,1.0
2001018,10,72,5,3,2,2,4,3,3,4,4,2,2,1,2,4,5,3,4,5,5,3,1,2,7,28,8,8,1.0
2001019,16,74,6,4,2,2,1,3,1,5,1,2,1,5,3,4,1,1,1,1,1,3,4,1,16,75,5,3,1.0
2001020,15,71,5,3,3,2,5,3,3,5,4,2,4,5,4,4,1,4,4,5,5,3,4,3,14,53,8,7,1.0
2001021,18,45,5,2,2,2,1,3,3,5,2,2,4,5,2,4,1,2,4,1,5,3,4,1,16,86,4,2,1.0
2001022,18,80,2,2,2,2,1,3,3,5,4,2,3,5,2,4,1,2,4,5,2,1,5,3,17,71,4,4,1.0
2001023,16,57,4,6,1,2,2,3,5,1,3,1,3,5,4,1,3,2,4,1,1,3,5,5,13,51,6,7,1.0
2001024,18,90,6,2,2,2,1,3,1,5,4,2,3,5,5,4,1,1,4,5,5,1,4,1,16,87,7,5,1.0
2001025,12,55,6,5,3,2,2,5,4,5,3,3,1,5,5,2,1,3,4,5,1,2,5,4,14,65,6,4,1.0
2001026,0,3,1,10,3,3,3,2,4,4,1,2,2,4,5,4,5,1,3,4,5,3,2,1,1,2,1,10,1.0
2001027,16,80,6,2,3,2,3,3,3,5,3,2,2,5,1,4,1,2,5,1,1,3,4,2,12,60,10,9,1.0
2001028,20,75,3,1,2,2,5,3,3,5,4,2,4,5,5,4,1,2,4,1,5,1,4,4,16,50,6,4,1.0
2001029,10,60,6,4,2,5,1,3,3,5,1,2,3,5,5,4,5,2,4,1,5,1,5,1,15,70,5,3,1.0
2001030,13,59,3,3,2,3,1,3,3,5,4,1,1,5,2,4,5,2,4,1,1,3,1,3,10,50,6,6,1.0
2001031,18,75,5,3,2,2,1,3,3,5,2,2,1,5,1,4,5,2,4,1,2,1,4,1,10,33,7,7,1.0
2001032,18,90,5,2,3,2,1,3,1,5,2,2,1,5,2,4,1,2,4,4,5,1,4,4,18,90,8,4,1.0
2001033,14,50,5,5,3,1,1,3,3,5,2,1,3,5,4,4,5,4,3,1,1,1,4,2,13,45,7,8,1.0
2001034,13,53,7,7,2,2,1,3,1,5,1,1,3,5,4,3,1,1,5,5,5,4,4,1,8,28,8,9,1.0
2001035,13,65,7,4,2,2,1,3,1,5,4,2,1,5,4,4,5,3,4,3,5,4,4,5,13,60,8,7,1.0
2001036,15,73,5,3,2,2,1,3,3,5,2,2,3,5,5,4,1,2,4,5,5,3,2,1,14,67,5,4,1.0
2001037,16,75,5,3,2,2,1,3,3,5,3,2,2,5,2,4,1,4,4,1,1,3,4,1,14,65,6,5,1.0
